Year,Region,Forest,CCF_Attainment,CCF_Offer,MBF_Attainment,MBF_Offer
2007,"04 R4, Intermountain Region",19 Wasatch-Cache National Forest,10685.82,15364.91,5411.98,7813.56
2007,"04 R4, Intermountain Region",Region Total,197705.39,246229.45,105024.9,129096.88
2007,"05 R5, Pacific S-West Region",01 Angeles National Forest,564.84,564.84,282.42,282.42
2007,"05 R5, Pacific S-West Region",02 Cleveland National Forest,123.0,123.0,61.5,61.5
2007,"05 R5, Pacific S-West Region",03 Eldorado National Forest,79934.1,79934.1,40026.79,40026.79
2007,"05 R5, Pacific S-West Region",04 Inyo National Forest,5759.39,6612.19,2879.7,3306.1
2007,"05 R5, Pacific S-West Region",05 Klamath National Forest,60173.97,69698.72,29150.37,35403.97
2007,"05 R5, Pacific S-West Region",06 Lassen National Forest,63286.84,94417.0,24774.49,38313.08
2007,"05 R5, Pacific S-West Region",07 Los Padres National Forest,242.0,242.0,121.0,121.0
2007,"05 R5, Pacific S-West Region",08 Mendocino Nf National Forest,9382.23,24811.17,4985.09,13685.63
2007,"05 R5, Pacific S-West Region",09 Modoc National Forest,52957.35,38432.96,27344.29,22019.92
2007,"05 R5, Pacific S-West Region",10 Six Rivers National Forest,13579.29,13579.29,7094.89,7094.89
2007,"05 R5, Pacific S-West Region",11 Plumas National Forest,110668.27,158479.13,54440.09,81029.37
2007,"05 R5, Pacific S-West Region",12 San Bernardino National Forest,7335.24,8747.24,3829.96,4541.96
2007,"05 R5, Pacific S-West Region",13 Sequoia National Forest,8773.83,8425.7,4820.8,4563.8
2007,"05 R5, Pacific S-West Region",14 Shasta-Trinity National Forest,160635.42,105984.77,71604.7,44255.22
2007,"05 R5, Pacific S-West Region",15 Sierra National Forest,28446.27,27070.77,16318.29,15316.39
2007,"05 R5, Pacific S-West Region",16 Stanislaus National Forest,53016.99,116399.42,25478.05,53111.19
2007,"05 R5, Pacific S-West Region",17 Tahoe National Forest,63475.21,66957.94,34939.08,36789.24
2007,"05 R5, Pacific S-West Region",19 Lake Tahoe Basin National Forest,5653.84,5653.84,3026.6,3026.6
2007,"05 R5, Pacific S-West Region",Region Total,724008.08,826134.08,351178.11,402949.07
2007,"06 R6, Pacific N-West Region",01 Deschutes National Forest,116849.39,112523.66,59222.53,57177.7
2007,"06 R6, Pacific N-West Region",02 Fremont-Winema National Forest,107497.1,114997.95,52423.96,55797.85
2007,"06 R6, Pacific N-West Region",03 Gifford Pinchot National Forest,75045.09,40788.28,40670.0,22088.03
2007,"06 R6, Pacific N-West Region",04 Malheur National Forest,28509.77,25002.26,14835.37,12599.45
2007,"06 R6, Pacific N-West Region",05 Mt. Baker/Snoqualmie National Forest,22654.8,22721.8,12673.85,12711.04
2007,"06 R6, Pacific N-West Region",06 Mt. Hood National Forest,46461.57,69918.51,24792.42,37023.45
2007,"06 R6, Pacific N-West Region",07 Ochoco National Forest,25518.31,34960.18,12723.07,17407.1
2007,"06 R6, Pacific N-West Region",09 Olympic National Forest,44977.97,52375.23,23692.42,27539.92
2007,"06 R6, Pacific N-West Region",10 Rogue River-Siskiyou National Forest,91366.67,124819.81,50440.46,67913.1
2007,"06 R6, Pacific N-West Region",12 Siuslaw National Forest,95839.4,87749.75,47245.95,45598.31
2007,"06 R6, Pacific N-West Region",14 Umatilla National Forest,33513.07,33513.07,17790.8,17790.8
2007,"06 R6, Pacific N-West Region",15 Umpqua National Forest,85778.78,86199.91,46194.43,46418.04
2007,"06 R6, Pacific N-West Region",16 Wallowa-Whitman National Forest,50276.7,56570.7,25552.0,28824.88
2007,"06 R6, Pacific N-West Region",17 Okanogan-Wenatchee National Forest,60884.79,102644.26,31346.63,53670.73
2007,"06 R6, Pacific N-West Region",18 Willamette National Forest,137683.07,131169.47,74291.61,71504.44
2007,"06 R6, Pacific N-West Region",21 Colville National Forest,65783.26,37069.6,34593.74,19321.64
2007,"06 R6, Pacific N-West Region",Region Total,1088639.72,1133024.42,568489.22,593386.46
2007,"08 R8, Southern Region",01 NFS In Alabama National Forest,60423.9,42764.9,30213.35,21383.85
2007,"08 R8, Southern Region",02 Daniel Boone National Forest,8749.65,14364.97,4525.21,7486.27
2007,"08 R8, Southern Region",03 Chattahoochee/Oconee National Forest,29169.11,37349.89,14586.42,18676.82
2007,"08 R8, Southern Region",04 Cherokee National Forest,10085.52,18960.15,5285.35,10016.81
2007,"08 R8, Southern Region",05 NFS In Florida National Forest,84786.05,100275.05,42401.71,50146.21
2007,"08 R8, Southern Region",06 Kisatchie National Forest,84998.41,93904.41,42602.78,47055.78
